a,x,y,z,a,
9.39E+13,-0.011971008,-0.062249243,0.06943185,3,acc
9.39E+13,-0.06703765,-0.074220255,0.088585466,3,acc
9.39E+13,-0.038307227,-0.06464344,0.04309563,3,acc
9.39E+13,-0.04309563,-0.002394202,0.1316811,3,acc
9.39E+13,-0.031124622,0.11971009,0.007182605,3,acc
9.39E+13,-0.045489833,0.045489833,0.04070143,3,acc
9.39E+13,-0.035913024,-0.045489833,0.055066638,3,acc
9.39E+13,0.033518825,-0.088585466,0.06703765,3,acc
9.39E+13,0.02873042,0.045489833,0.002394202,3,acc
9.39E+13,0.05746084,0.076614454,0.045489833,3,acc
9.39E+13,0.07182605,0.107739076,0.074220255,3,acc
9.39E+13,0.02633622,-0.074220255,0.038307227,3,acc
9.39E+13,0.004788403,0.002394202,0.038307227,3,acc
9.39E+13,-0.01436521,-0.08619126,0.055066638,3,acc
9.39E+13,-0.016759412,-0.09816227,0.093373865,3,acc
9.39E+13,-0.088585466,-0.050278235,0.035913024,3,acc
9.39E+13,-0.019153614,0.016759412,0.02633622,3,acc
9.39E+13,0.093373865,-0.002394202,0.10055647,3,acc
9.39E+13,-0.045489833,0.01436521,0.055066638,3,acc
9.39E+13,-0.007182605,0.047884032,0.06703765,3,acc
9.39E+13,0.02873042,-0.038307227,0.019153614,3,acc
9.39E+13,-0.021547815,0.004788403,0.09816227,3,acc
9.39E+13,-0.04309563,0.007182605,0.06703765,3,acc
9.39E+13,-0.031124622,-0.016759412,0.02873042,3,acc
9.39E+13,0.05267244,-0.059855044,0.090979666,3,acc
9.39E+13,0.009576807,0.002394202,0.08619126,3,acc
9.39E+13,0,0.004788403,0.02873042,3,acc
9.39E+13,-0.01436521,-0.011971008,0.01436521,3,acc
9.39E+13,0.016759412,-0.023942016,0.055066638,3,acc
9.39E+13,0.01436521,-0.035913024,0.08379706,3,acc
9.39E+13,-0.019153614,-0.019153614,0.074220255,3,acc
9.39E+13,-0.06703765,-0.01436521,0.02873042,3,acc
9.39E+13,0.045489833,0.021547815,0.08619126,3,acc
9.39E+13,0.016759412,-0.021547815,0.011971008,3,acc
9.39E+13,0.04070143,-0.002394202,0.045489833,3,acc
9.39E+13,0.01436521,0.035913024,0.050278235,3,acc
9.39E+13,-0.031124622,-0.004788403,0.02873042,3,acc
9.39E+13,0.05267244,0.021547815,0.016759412,3,acc
